Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,LowCI,HighCI,Confidence Interval,Quartile range,Quartile number,Suppression Flag
Ever had COVID,By State,Wisconsin,Wisconsin,3.5,47,"Jun 29 - Jul 11, 2022",06/29/2022,07/11/2022,42.8,38.6,47,38.6 - 47.0,40.2-42.8,2,
Ever had COVID,By State,Wyoming,Wyoming,3.5,47,"Jun 29 - Jul 11, 2022",06/29/2022,07/11/2022,45.5,39.5,51.6,39.5 - 51.6,45.2-49.5,4,
"Ever experienced long COVID, as a percentage of all adults",National Estimate,United States,United States,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,14.8,14.2,15.4,14.2 - 15.4,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,18 - 29 years,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,15.9,14.2,17.7,14.2 - 17.7,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,30 - 39 years,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,17.3,15.6,19,15.6 - 19.0,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,40 - 49 years,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,18.8,17.3,20.4,17.3 - 20.4,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,50 - 59 years,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,17.1,15.4,19,15.4 - 19.0,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,60 - 69 years,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,10.9,9.5,12.4,9.5 - 12.4,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,70 - 79 years,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,6.8,5.7,8.1,5.7 - 8.1,,,
"Ever experienced long COVID, as a percentage of all adults",By Age,United States,80 years and above,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,6,3.7,9.2,3.7 - 9.2,,,
"Ever experienced long COVID, as a percentage of all adults",By Sex,United States,Male,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,11.3,10.5,12.2,10.5 - 12.2,,,
"Ever experienced long COVID, as a percentage of all adults",By Sex,United States,Female,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,18.2,17.2,19.2,17.2 - 19.2,,,
"Ever experienced long COVID, as a percentage of all adults",By Gender identity,United States,Cis-gender male,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,11.1,10.2,12,10.2 - 12.0,,,
"Ever experienced long COVID, as a percentage of all adults",By Gender identity,United States,Cis-gender female,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,18.2,17.2,19.2,17.2 - 19.2,,,
"Ever experienced long COVID, as a percentage of all adults",By Gender identity,United States,Transgender,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,19.5,13.5,26.7,13.5 - 26.7,,,
"Ever experienced long COVID, as a percentage of all adults",By Sexual orientation,United States,Gay or lesbian,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,17.8,14.7,21.2,14.7 - 21.2,,,
"Ever experienced long COVID, as a percentage of all adults",By Sexual orientation,United States,Straight,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,14.2,13.6,14.9,13.6 - 14.9,,,
"Ever experienced long COVID, as a percentage of all adults",By Sexual orientation,United States,Bisexual,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,18.6,15.9,21.6,15.9 - 21.6,,,
"Ever experienced long COVID, as a percentage of all adults",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,19.9,17.8,22.1,17.8 - 22.1,,,
"Ever experienced long COVID, as a percentage of all adults",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,13.9,13.2,14.6,13.2 - 14.6,,,
"Ever experienced long COVID, as a percentage of all adults",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,12.6,10.8,14.5,10.8 - 14.5,,,
"Ever experienced long COVID, as a percentage of all adults",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,9.5,7.7,11.6,7.7 - 11.6,,,
"Ever experienced long COVID, as a percentage of all adults",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,20.7,17.3,24.4,17.3 - 24.4,,,
"Ever experienced long COVID, as a percentage of all adults",By Education,United States,Less than a high school diploma,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,19.7,16.6,23.1,16.6 - 23.1,,,
"Ever experienced long COVID, as a percentage of all adults",By Education,United States,High school diploma or GED,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,14.4,13.1,15.7,13.1 - 15.7,,,
"Ever experienced long COVID, as a percentage of all adults",By Education,United States,Some college/Associate's degree,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,17.3,16.5,18.2,16.5 - 18.2,,,
"Ever experienced long COVID, as a percentage of all adults",By Education,United States,Bachelor's degree or higher,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,11.7,10.9,12.4,10.9 - 12.4,,,
"Ever experienced long COVID, as a percentage of all adults",By Disability status,United States,With disability,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,22.7,20.8,24.8,20.8 - 24.8,,,
"Ever experienced long COVID, as a percentage of all adults",By Disability status,United States,Without disability,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,13.7,13,14.4,13.0 - 14.4,,,
"Ever experienced long COVID, as a percentage of all adults",By State,Alabama,Alabama,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,18.8,15,23.1,15.0 - 23.1,16.2-19.6,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Alaska,Alaska,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,15.5,12.3,19.3,12.3 - 19.3,15.0-16.1,3,
"Ever experienced long COVID, as a percentage of all adults",By State,Arizona,Arizona,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,15.5,12.5,19,12.5 - 19.0,15.0-16.1,3,
"Ever experienced long COVID, as a percentage of all adults",By State,Arkansas,Arkansas,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,18.1,14.5,22.3,14.5 - 22.3,16.2-19.6,4,
"Ever experienced long COVID, as a percentage of all adults",By State,California,California,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,14.9,12.7,17.3,12.7 - 17.3,12.9-14.9,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Colorado,Colorado,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,14.9,11.5,18.8,11.5 - 18.8,12.9-14.9,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Connecticut,Connecticut,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,16,12.2,20.3,12.2 - 20.3,15.0-16.1,3,
"Ever experienced long COVID, as a percentage of all adults",By State,Delaware,Delaware,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,10.4,7.1,14.6,7.1 - 14.6,8.8-12.8,1,
"Ever experienced long COVID, as a percentage of all adults",By State,District of Columbia,District of Columbia,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,11.7,8.1,16.3,8.1 - 16.3,8.8-12.8,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Florida,Florida,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,18.3,15.4,21.5,15.4 - 21.5,16.2-19.6,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Georgia,Georgia,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,15.3,12.1,18.8,12.1 - 18.8,15.0-16.1,3,
"Ever experienced long COVID, as a percentage of all adults",By State,Hawaii,Hawaii,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,10.9,7.4,15.5,7.4 - 15.5,8.8-12.8,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Idaho,Idaho,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,12.9,10.5,15.7,10.5 - 15.7,12.9-14.9,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Illinois,Illinois,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,16.9,13.7,20.5,13.7 - 20.5,16.2-19.6,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Indiana,Indiana,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,12.8,10.5,15.3,10.5 - 15.3,8.8-12.8,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Iowa,Iowa,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,18.1,13.7,23.3,13.7 - 23.3,16.2-19.6,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Kansas,Kansas,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,13.7,10.9,17,10.9 - 17.0,12.9-14.9,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Kentucky,Kentucky,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,11.1,8.2,14.7,8.2 - 14.7,8.8-12.8,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Louisiana,Louisiana,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,14.9,11.2,19.2,11.2 - 19.2,12.9-14.9,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Maine,Maine,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,12.2,7.6,18.3,7.6 - 18.3,8.8-12.8,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Maryland,Maryland,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,13.3,10.1,17,10.1 - 17.0,12.9-14.9,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Massachusetts,Massachusetts,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,11.2,9.2,13.5,9.2 - 13.5,8.8-12.8,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Michigan,Michigan,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,14.3,11.5,17.5,11.5 - 17.5,12.9-14.9,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Minnesota,Minnesota,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,13.2,10.6,16.2,10.6 - 16.2,12.9-14.9,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Mississippi,Mississippi,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,18,13.6,23.1,13.6 - 23.1,16.2-19.6,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Missouri,Missouri,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,15.2,12.3,18.6,12.3 - 18.6,15.0-16.1,3,
"Ever experienced long COVID, as a percentage of all adults",By State,Montana,Montana,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,15.3,11.7,19.4,11.7 - 19.4,15.0-16.1,3,
"Ever experienced long COVID, as a percentage of all adults",By State,Nebraska,Nebraska,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,18,14.4,21.9,14.4 - 21.9,16.2-19.6,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Nevada,Nevada,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,16,12.4,20.2,12.4 - 20.2,15.0-16.1,3,
"Ever experienced long COVID, as a percentage of all adults",By State,New Hampshire,New Hampshire,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,11.7,8.8,15.2,8.8 - 15.2,8.8-12.8,1,
"Ever experienced long COVID, as a percentage of all adults",By State,New Jersey,New Jersey,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,12.4,8.8,16.8,8.8 - 16.8,8.8-12.8,1,
"Ever experienced long COVID, as a percentage of all adults",By State,New Mexico,New Mexico,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,15.6,12.3,19.3,12.3 - 19.3,15.0-16.1,3,
"Ever experienced long COVID, as a percentage of all adults",By State,New York,New York,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,15.4,12.1,19.1,12.1 - 19.1,15.0-16.1,3,
"Ever experienced long COVID, as a percentage of all adults",By State,North Carolina,North Carolina,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,19.3,15.3,23.9,15.3 - 23.9,16.2-19.6,4,
"Ever experienced long COVID, as a percentage of all adults",By State,North Dakota,North Dakota,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,14.3,10.6,18.6,10.6 - 18.6,12.9-14.9,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Ohio,Ohio,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,12.1,9.1,15.6,9.1 - 15.6,8.8-12.8,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Oklahoma,Oklahoma,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,17,13.9,20.6,13.9 - 20.6,16.2-19.6,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Oregon,Oregon,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,16.1,13.3,19.1,13.3 - 19.1,15.0-16.1,3,
"Ever experienced long COVID, as a percentage of all adults",By State,Pennsylvania,Pennsylvania,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,8.8,6.6,11.4,6.6 - 11.4,8.8-12.8,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Rhode Island,Rhode Island,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,15.4,11,20.6,11.0 - 20.6,15.0-16.1,3,
"Ever experienced long COVID, as a percentage of all adults",By State,South Carolina,South Carolina,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,15.9,12.3,20,12.3 - 20.0,15.0-16.1,3,
"Ever experienced long COVID, as a percentage of all adults",By State,South Dakota,South Dakota,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,19.6,14.3,25.8,14.3 - 25.8,16.2-19.6,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Tennessee,Tennessee,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,14.9,11.9,18.3,11.9 - 18.3,12.9-14.9,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Texas,Texas,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,15.7,13.2,18.4,13.2 - 18.4,15.0-16.1,3,
"Ever experienced long COVID, as a percentage of all adults",By State,Utah,Utah,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,16.9,14.3,19.8,14.3 - 19.8,16.2-19.6,4,
"Ever experienced long COVID, as a percentage of all adults",By State,Vermont,Vermont,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,12.5,7.4,19.3,7.4 - 19.3,8.8-12.8,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Virginia,Virginia,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,11.7,9.2,14.5,9.2 - 14.5,8.8-12.8,1,
"Ever experienced long COVID, as a percentage of all adults",By State,Washington,Washington,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,13,10.4,16,10.4 - 16.0,12.9-14.9,2,
"Ever experienced long COVID, as a percentage of all adults",By State,West Virginia,West Virginia,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,14.6,10.7,19.2,10.7 - 19.2,12.9-14.9,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Wisconsin,Wisconsin,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,12.9,9.9,16.3,9.9 - 16.3,12.9-14.9,2,
"Ever experienced long COVID, as a percentage of all adults",By State,Wyoming,Wyoming,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,17.7,13.6,22.4,13.6 - 22.4,16.2-19.6,4,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",National Estimate,United States,United States,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,33.2,32.1,34.3,32.1 - 34.3,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,18 - 29 years,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,30.3,27.2,33.5,27.2 - 33.5,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,30 - 39 years,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,34,31.3,36.7,31.3 - 36.7,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,40 - 49 years,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,36.3,33.8,38.8,33.8 - 38.8,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,50 - 59 years,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,37.6,34.5,40.7,34.5 - 40.7,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,60 - 69 years,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,31.1,27.9,34.5,27.9 - 34.5,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,70 - 79 years,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,23.9,20,28.1,20.0 - 28.1,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,80 years and above,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,25,15.8,36.1,15.8 - 36.1,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Sex,United States,Male,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,26.8,25,28.7,25.0 - 28.7,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Sex,United States,Female,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,38.6,36.9,40.4,36.9 - 40.4,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Gender identity,United States,Cis-gender male,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,26.2,24.4,28.1,24.4 - 28.1,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Gender identity,United States,Cis-gender female,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,38.6,36.8,40.4,36.8 - 40.4,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Gender identity,United States,Transgender,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,49.2,36.2,62.2,36.2 - 62.2,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Sexual orientation,United States,Gay or lesbian,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,41.1,35,47.5,35.0 - 47.5,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Sexual orientation,United States,Straight,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,31.9,30.6,33.2,30.6 - 33.2,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Sexual orientation,United States,Bisexual,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,39.1,34.1,44.2,34.1 - 44.2,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,38.5,34.8,42.3,34.8 - 42.3,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,31.8,30.5,33.2,30.5 - 33.2,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,33.5,29.3,37.9,29.3 - 37.9,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,20.5,16.7,24.6,16.7 - 24.6,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,42.5,36.3,48.8,36.3 - 48.8,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Education,United States,Less than a high school diploma,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,45.1,39.5,50.9,39.5 - 50.9,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Education,United States,High school diploma or GED,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,34.9,32.1,37.8,32.1 - 37.8,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Education,United States,Some college/Associate's degree,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,37,35.3,38.8,35.3 - 38.8,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Education,United States,Bachelor's degree or higher,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,25.2,23.7,26.7,23.7 - 26.7,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Disability status,United States,With disability,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,53.6,50.3,56.9,50.3 - 56.9,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Disability status,United States,Without disability,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,30.6,29.3,32,29.3 - 32.0,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Alabama,Alabama,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,45.2,35.6,55.2,35.6 - 55.2,37.4-45.2,4,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Alaska,Alaska,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,31.3,24.5,38.9,24.5 - 38.9,29.7-32.7,2,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Arizona,Arizona,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,35.1,28.6,42,28.6 - 42.0,32.8-37.3,3,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Arkansas,Arkansas,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,40.7,33.8,48,33.8 - 48.0,37.4-45.2,4,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,California,California,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,31.1,26.7,35.8,26.7 - 35.8,29.7-32.7,2,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Colorado,Colorado,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,32.3,26.2,38.9,26.2 - 38.9,29.7-32.7,2,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Connecticut,Connecticut,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,33.5,26.8,40.7,26.8 - 40.7,32.8-37.3,3,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Delaware,Delaware,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,27,19.3,35.9,19.3 - 35.9,21.7-29.6,1,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,District of Columbia,District of Columbia,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,26.4,17.8,36.5,17.8 - 36.5,21.7-29.6,1,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Florida,Florida,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,40.7,35.6,46,35.6 - 46.0,37.4-45.2,4,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Georgia,Georgia,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,34.8,28.4,41.7,28.4 - 41.7,32.8-37.3,3,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Hawaii,Hawaii,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,26.3,17.4,36.9,17.4 - 36.9,21.7-29.6,1,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Idaho,Idaho,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,27.8,22.7,33.4,22.7 - 33.4,21.7-29.6,1,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Illinois,Illinois,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,38,30.9,45.4,30.9 - 45.4,37.4-45.2,4,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Indiana,Indiana,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,30.9,26.2,36,26.2 - 36.0,29.7-32.7,2,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Iowa,Iowa,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,40,33.2,47.1,33.2 - 47.1,37.4-45.2,4,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Kansas,Kansas,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,32.7,26.2,39.6,26.2 - 39.6,29.7-32.7,2,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Kentucky,Kentucky,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,26.4,19.6,34,19.6 - 34.0,21.7-29.6,1,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Louisiana,Louisiana,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,32,23.9,41,23.9 - 41.0,29.7-32.7,2,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Maine,Maine,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,28.3,18.8,39.4,18.8 - 39.4,21.7-29.6,1,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Maryland,Maryland,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,31.4,24.5,38.9,24.5 - 38.9,29.7-32.7,2,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Massachusetts,Massachusetts,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,24.6,20.4,29.2,20.4 - 29.2,21.7-29.6,1,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Michigan,Michigan,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,32.1,26,38.7,26.0 - 38.7,29.7-32.7,2,
